Location,Area,Bedrooms,Bathrooms,Floors,Property_Age,Parking,Kitchen,Balcony,Furnishing,Property_Type,Construction_Quality,Price
Anantapur,3753,2,4,3,12,Yes,Yes,3,Fully Furnished,Apartment,Low,21641000.0
Bengaluru,4766,4,1,4,16,Yes,Yes,3,Fully Furnished,Plot,Medium,44778000.0
Kadapa,1239,2,1,4,18,Yes,Yes,0,Fully Furnished,Independent House,High,9510000.0
Rajahmundry,1901,4,3,1,27,Yes,Yes,3,Fully Furnished,Apartment,Low,11690000.0
Anantapur,3759,3,1,4,6,No,Yes,1,Semi Furnished,Apartment,High,25830000.0
Kadapa,2777,1,2,3,16,No,Yes,0,Semi Furnished,Plot,High,12335000.0
Kadapa,4404,3,4,3,0,No,Yes,0,Semi Furnished,Plot,Low,17584000.0
Tirupati,4423,1,2,4,4,No,Yes,3,Semi Furnished,Independent House,High,41641000.0
Rajahmundry,4714,3,3,1,24,Yes,Yes,2,Unfurnished,Apartment,High,30900000.0
Visakhapatnam,3727,3,3,1,5,Yes,Yes,1,Semi Furnished,Villa,High,49899000.0
Vijayawada,3331,2,1,4,25,Yes,No,0,Unfurnished,Plot,Low,14217000.0
Srikakulam,4258,5,1,2,1,Yes,Yes,1,Fully Furnished,Apartment,Low,23892000.0
Kurnool,3012,4,3,2,26,Yes,Yes,2,Unfurnished,Apartment,Low,14882000.0
Vijayawada,2651,4,3,2,24,No,Yes,0,Unfurnished,Villa,Medium,24694000.0
Guntur,4175,4,2,2,15,Yes,Yes,1,Unfurnished,Apartment,High,29731000.0
Srikakulam,3245,1,2,4,21,Yes,Yes,3,Semi Furnished,Plot,Medium,12120000.0
Srikakulam,4366,4,1,1,4,Yes,Yes,0,Semi Furnished,Villa,Medium,32015000.0
Pune,4264,4,2,3,4,Yes,Yes,0,Fully Furnished,Plot,High,44134000.0
Ongole,2722,2,1,3,30,Yes,Yes,0,Semi Furnished,Independent House,Low,13933000.0
Mumbai,3292,3,1,4,11,Yes,Yes,0,Unfurnished,Apartment,Medium,45086000.0
